#,Action,New,Description,Parameters,Control Required, Example(Values)
175,VALIDATE_ALERT_MESSAGE_CONTAINS,-,Checks an alert message contains Message,Expected alert message text,No,Hello World
176,VALIDATE_ALERT_MESSAGE,-,Checks an alert message to match expected,Expected alert message,No,Hello World
177,VALIDATE_ATTRIBUTE_VALUE,-,Validates an element attribute value,Attribute name{P}Attribute expected value,Yes,Fruit name{P}Apple
178,VALIDATE_CELL_DATE_VALUE,-,Validates an element attribute value,Attribute name{P}Attribute expected value,Yes,Fruit name{P}Apple
179,VALIDATE_CELL_VALUE,-,Validates a table field value contains an expected value,Column name{P}Row index{P}Expected value,Yes,Asset ID{P}1{P}1234
180,VALIDATE_CELL_VALUE_NOT_EQUAL,-,Validates a table field value does not equal a specific value,Column name{P}Row index{P}Expected value,Yes,Asset ID{P}1{P}1234
181,VALIDATE_COLUMN_CONTENT,-,Validates table column content match a specific value,Column name{P}Expected value,Yes,Site{P}GV_Location
182,VALIDATE_COLUMN_VALUES,-,Checks table column values,Expected matching column value,Yes,Hello World
183,VALIDATE_CURRENT_URL_CONTAINS,*,Checks current URL contains a specific text,Expected Text in URL,No,google
184,VALIDATE_FIELD_VALUE_VAR,*,Validates field value matches expected using a dynamic field name,Dynamic Field name{P}Expected value,Yes,PO Qty in SKU{P}60
185,VALIDATE_ROW_COUNT,-,Validates Table row count matches expected,Expected row count,Yes,5
186,VALIDATE_SELECTED_OPTION,-,Checks an option is selected,option,Yes,hello world
187,VALIDATE_TABLE_CONTAINS_VALUE,-,Checks a value is found under a column,Column Name and to be found value,Yes,Asset ID{P}1234
188,VALIDATE_TABLE_DOESNOT_CONTAIN_VALUE,-,Checks a value is not found under a column,Column Name{P}value,Yes,Asset ID{P}1234
189,VALIDATE_TEXT,-,Checks element text matches expected text,Expected text,Yes,Hello World
190,VALIDATE_TEXT_CONTAINS,-,Checks element text contains expected text,Expected text,Yes,Hello World
191,VALIDATE_TEXT_IS_EMPTY,-,Checks element text is empty,None,Yes,Value not Required
192,VALIDATE_TEXT_NOT_ON_PAGE,-,Checks a text is not on current page,Text,No,Hello World
193,VALIDATE_TEXT_ON_PAGE,-,Checks a text is on current page,Text,No,Hello World
194,VALIDATE_VALUE,-,Checks element Value matches expected text,Expected text,Yes,Hello World
195,VALIDATE_VALUE_CONTAINS,-,Checks element value is not empty,None,Yes,Value not Required
196,VALIDATE_VALUE_NOT_EMPTY,-,Checks element value contains expected text,Expected text,Yes,Hello World
197,VERIFY_TAB_EXISTS,-,Checks Tab exists,Expected text,No,AIM/Transfer/Requests
198,VERIFY_TAB_EXISTS_VAR,*,Checks a Tab with specific text exists,Tab Text,No,hello world
199,VERIFY_TAB_NOT_EXISTS,-,Checks Tab not exists,Expected text,No,AIM/Transfer/Requests
200,WAIT_BUTTON_DISABLED,-,Waits for a button by text to exit then check it is disabled,Button name,No,Hello world
201,WAIT_BUTTON_SELECTED_STATE_NOT_VISIBLE,-,Waits for a button by state to become invisible,Button name{P}state 0 or 1,No,Requested{P}1
202,WAIT_BUTTON_SELECTED_STATE_VISIBLE,-,Waits for a button by state to become visible,Button name{P}state 0 or 1,No,Requested{P}1
203,WAIT_ELEMENT_EXIST,-,Waits while an element exists,None,Yes,Value not Required
204,WAIT_ELEMENT_NOT_EXIST,-,Waits while an element not exists,None,Yes,Value not Required
205,WAIT_ELEMENT_NOT_VISIBLE,-,Waits for a specific element to become not visible,None,Yes,Value not Required
206,WAIT_ELEMENT_NOT_VISIBLE_VAR,-,Waits for a specific element to become not visible using a variant,Variant,Yes,hello world
207,WAIT_ELEMENT_VALUE_NOT_EMPTY,-,Waits for an element value not to be empty,None,Yes,Value not Required
208,WAIT_ELEMENT_VAR,*,Waits for an element that has a variant value that could be changed run time to exist,Variant value,Yes,Age
209,WAIT_ELEMENT_VISIBLE,-,Waits for an element to be visible,None,Yes,Value not Required
210,WAIT_ELEMENT_VISIBLE_REFRESH,*,Waits for an element to be visible,None,Yes,Value not Required
211,WAIT_ELEMENT_VISIBLE_VAR,-,Waits for an element to be visible using a variant,Variant,Yes,Hello world
212,WAIT_FOR_ATTRIBUTE_VALUE_VAR,*,Waits for an element attribute value to match expected starting with a variant to locate the element,Element variant value{P}Attribute{P}Expected Attribute Value,Yes,Hello world{P}id{P}firstname
213,WAIT_FOR_BUTTON_BY_TEXT_NOT_EXIST,-,Waits for a button by text not to exist,Button name,No,Hello world
214,WAIT_FOR_BUTTON_BY_TEXT,-,Waits for a button by text to exist,Button name,No,Hello world
215,WAIT_FOR_TABLE_ROW_COUNT,-,Waits for a table to load with least two rows before it proceeds,None,Yes,Value not Required
216,WAIT_FOR_TEXT,-,Waits for an element with a specific text,Text,Yes,Hello World
217,WAIT_FOR_VALUE,-,Waits for a specific value to exist in a text field,Text,Yes,Hello World
218,WAIT_IN_MSEC,-,Waits in milliseconds,Milliseconds,No,5000
219,WAIT_IN_SEC,-,Waits in seconds,Seconds,No,5
220,WAIT_TAB_EXISTS,-,Waits for tab to exist,Tab name,No,AIM/Transfer/Requests
221,WAIT_TAB_NOT_EXISTS,-,Waits for tab not to exist,Tab name,No,AIM/Transfer/Requests
222,WAIT_TO_TEXT_SLOW_ENTER,-,Waits for a specific element to be visible to Enter text into it,Text,Yes,Hello World
223,WAIT_WHILE_ELEMENT_VISIBLE,-,Waits while an element is visible,None,Yes,Value not Required
224,WAIT_FOR_ALERT,*,Waits for an alert message with a specific text,specific alert message,No,Hello world
225,WAITING_FOR_TEXT,-,Waits for a specific text,Text,No,Hello World
226,WAIT_WINDOW_COUNT,-,Waits for window count to match expected,Text,No,Hello World
